icone	nb_feuilles_opla	classe	regle_source	feuilles_candidates
🖋️	9	AMBIGU	stylo|papeterie|carnet|bloc[sx]?.?notes?|surligneur|crayon(?	LOISIRS_SCRAPBOOKING (Scrapbooking et papeterie créative) ; KID_STICKER_STATIONERY (Gommettes et accessoires de papeterie) ; MAKE_UP_BAGS (Trousses à maquillage) ; KID_SCHOOL_PENCIL_CASES (Trousses) ; KID_SCHOOL_CALCULATORS_GEOMETRY (Calculatrices et matériel de géométrie) ; MAISON_OFFICE_PENCIL_CASES (Trousses) ; MAISON_OFFICE_NOTEBOOKS (Carnets et blocs-notes) ; MAISON_OFFICE_CALCULATORS (Calculatrices)
🫖	1	NET	bouilloire|théière	MAISON_SA_KETTLES (Bouilloires)
🧹	1	NET	aspirateur|roomba|nettoyeur[sx]?.?vapeur	MAISON_MAINT_VACUUMS (Aspirateurs et nettoyage)
🧊	0	SANS_EQUIVALENT	frigo|réfrigérateur|congélateur	
♨️	1	NET	\bfour\b|micro[sx]?.?onde	MAISON_BAKING_OVEN_DISHES (Plats pour le four)
🥣	1	NET	mixeur|blender|robot.?(?:cuisine|pâtissier)|thermomix|batteu	MAISON_SA_BLENDERS (Blenders, mixeurs et robots de cuisine)
🍞	1	NET	grille[sx]?.?pain|toaster	MAISON_SA_TOASTERS (Grille-pain)
🍟	1	NET	friteuse|airfryer	MAISON_SA_FRYERS (Friteuses)
💇	0	SANS_EQUIVALENT	sèche[sx]?.?cheveux|lisseur|boucleur|airwrap|supersonic|mult	
🌀	1	NET	ventilateur|climatiseur|purificateur[sx]?.?d.?air|humidifica	KID_HUMIDIFIERS (Humidificateurs)
🌡️	0	SANS_EQUIVALENT	radiateur|chauffage[sx]?.?d.?appoint|convecteur|bain[sx]?.?d	
🪛	0	SANS_EQUIVALENT	perceuse|visseuse|tournevis|perforateur	
🪚	0	SANS_EQUIVALENT	\bscies?\b|tronçonneuse|élagueuse	
🔨	0	SANS_EQUIVALENT	marteau|maillet|\bmasses?\b(?!\s*(?:musculaire|corporelle|gr	
🪜	0	SANS_EQUIVALENT	échelle(?!s?\s*(?:1\s*[:/]\s*\d|\d|réduite))|escabeau	
🖌️	3	NET	peinture|rouleau[sx]?.?peinture|pinceaux?\b(?!\s*(?:de\s*|à\	LOISIRS_PEINTURE_DESSIN (Peinture et dessin) ; KID_DRAW_PAINT (Peinture et dessin) ; MAISON_DIY_PAINT_TOOLS (Outils et accessoires de peinture)
🔩	2	NET	\bvis\b|boulon|cheville|clou\b	ANKLETS_NEW (Bracelets de cheville) ; MEN_ANKLETS (Bracelets de cheville)
📏	0	SANS_EQUIVALENT	mètre[sx]?.?ruban|niveau.?(?:laser|à.?bulle)	
